feature_id,description,max_probability,max_prob_checkpoint,max_prob_checkpoint_name,max_jump_value,final_probability,good_count,bad_count,subset_counts
1513,Mathematical addition operators (+) appearing in algebraic expressions and equations.,0.459872049,12,pythia-160m-step70000,0.218259986,0.332818754,0,0,{'': 50}
930,"All instances show the preposition ""on"" preceded by a space, indicating its consistent grammatical function as a preposition in various contexts.",0.389506678,12,pythia-160m-step70000,0.2678817247,0.251911316,0,0,{'': 50}
2366,"The word ""end"" used as a noun to indicate the conclusion or final point of time periods, events, or durations.",0.282001489,11,pythia-160m-step10000,0.24195295509999998,0.208002322,0,0,{'': 50}
841,"Words describing variation, diversity, or differentiation across multiple contexts, entities, or spatial locations",0.273529571,11,pythia-160m-step10000,0.24489539410000002,0.156627446,0,0,{'': 50}
2880,"General nouns referring to unspecified objects, entities, or concepts, often used as vague or catch-all terms.",0.261636028,12,pythia-160m-step70000,0.13429199500000003,0.184261166,0,0,{'': 50}
510,"Words related to user interface interactions, specifically clicking or selecting elements on web pages or applications.",0.261568133,12,pythia-160m-step70000,0.19838407909999997,0.163625468,0,0,{'': 50}
2700,"Infinitive verbs that follow ""to"" in sentences, representing actions or purposes.",0.235824339,12,pythia-160m-step70000,0.120181003,0.168314444,0,0,{'': 50}
1727,"First-person plural pronouns (""we"" and ""us"") used as sentence subjects.",0.223129659,12,pythia-160m-step70000,0.0760679205,0.153963635,0,0,{'': 50}
2541,Past participles used in perfect tense constructions (have/had + past participle).,0.193245529,12,pythia-160m-step70000,0.085986021,0.142995374,0,0,{'': 50}
583,"All instances are the word ""also"" preceded by a space, functioning as an additive adverb to introduce additional information or examples.",0.19097858,11,pythia-160m-step10000,0.1444767167,0.142862831,0,0,{'': 50}
2719,Present participle verbs functioning as main verbs in progressive/continuous tenses,0.189083519,12,pythia-160m-step70000,0.11322319809999999,0.137940061,0,0,{'': 50}
1598,"Articles and adjectives that precede nouns in contexts describing developments, innovations, or additions",0.161416302,13,pythia-160m-step100000,0.0844841828,0.120122002,0,0,{'': 50}
1798,"All instances show ""order"" used in the prepositional phrase ""in order to"" expressing purpose or intention.",0.111783244,13,pythia-160m-step100000,0.0722585476,0.0829037898,0,0,{'': 50}
2490,"Instances of the contrastive conjunction ""however"" appearing at the beginning of sentences or clauses to introduce contrasting information.",0.0453372123,12,pythia-160m-step70000,0.0281670005,0.0298217165,0,0,{'': 50}
2364,"The word ""so"" functioning as an intensifier, conjunction, or adverb in various grammatical contexts.",0.0222119312,13,pythia-160m-step100000,0.01218401904,0.0144982213,0,0,{'': 50}
1651,"Words functioning as indefinite determiners or quantifiers, with one instance of ""part"" that refers to a role or involvement rather than quantity",0.021653855,12,pythia-160m-step70000,0.00890920463,0.0146923929,0,0,{'': 50}
2494,Prepositions and adverbs indicating accompaniment or conjunction,0.00918035725,12,pythia-160m-step70000,0.005202162168,0.0058925762,0,0,{'': 50}
1086,Transitional adverbs and conjunctive adverbs used to connect ideas and add information in formal or academic writing.,0.00839583254,12,pythia-160m-step70000,0.0028681471599999995,0.00569889661,0,0,{'': 50}
