split,pair_id,good_sentence,bad_sentence,good_doc_id,bad_doc_id,good_input_file,bad_input_file,good_output_file,bad_output_file,good_seq_logprob,bad_seq_logprob,good_num_tokens,bad_num_tokens
regular_plural_subject_verb_agreement_1,493,Many documentaries were stunning Maria.,Many documentaries was stunning Maria.,regular_plural_subject_verb_agreement_1_good_493,regular_plural_subject_verb_agreement_1_bad_493,longformer-515_519.parquet,longformer-515_519.parquet,pythia-160m-step4-400_599.parquet,pythia-160m-step4-400_599.parquet,-66.3000259399414,-65.09320831298828,6,6
wh_vs_that_no_gap_long_distance,640,Tiffany discovered that the man that hasn't questioned a lot of guys had upset Jessica.,Tiffany discovered who the man that hasn't questioned a lot of guys had upset Jessica.,wh_vs_that_no_gap_long_distance_good_640,wh_vs_that_no_gap_long_distance_bad_640,longformer-1275_1279.parquet,longformer-1270_1274.parquet,pythia-160m-step4-1200_1399.parquet,pythia-160m-step4-1200_1399.parquet,-187.53262329101562,-186.30557250976562,17,17
wh_vs_that_with_gap,650,Regina hasn't known what these children haven't looked like.,Regina hasn't known that these children haven't looked like.,wh_vs_that_with_gap_good_650,wh_vs_that_with_gap_bad_650,longformer-1055_1059.parquet,longformer-1065_1069.parquet,pythia-160m-step4-1000_1199.parquet,pythia-160m-step4-1000_1199.parquet,-131.7512969970703,-131.96832275390625,12,12
coordinate_structure_constraint_complex_left_branch,75,Whose libraries can Paula clean and Diane mess up?,Whose can Paula clean libraries and Diane mess up?,coordinate_structure_constraint_complex_left_branch_good_75,coordinate_structure_constraint_complex_left_branch_bad_75,longformer-865_869.parquet,longformer-865_869.parquet,pythia-160m-step4-800_999.parquet,pythia-160m-step4-800_999.parquet,-108.61478424072266,-109.83727264404297,10,10
existential_there_quantifiers_1,234,There were many computers dropping.,There were all computers dropping.,existential_there_quantifiers_1_good_234,existential_there_quantifiers_1_bad_234,longformer-400_404.parquet,longformer-385_389.parquet,pythia-160m-step4-400_599.parquet,pythia-160m-step4-200_399.parquet,-56.098934173583984,-55.51211929321289,6,6
sentential_negation_npi_licensor_present,515,All shoes had not ever flattened.,All shoes had really ever flattened.,sentential_negation_npi_licensor_present_good_515,sentential_negation_npi_licensor_present_bad_515,longformer-345_349.parquet,longformer-465_469.parquet,pythia-160m-step4-200_399.parquet,pythia-160m-step4-400_599.parquet,-67.6683120727539,-67.79229736328125,7,7
irregular_plural_subject_verb_agreement_1,312,Those oxen aren't boring Cheryl.,Those oxen wasn't boring Cheryl.,irregular_plural_subject_verb_agreement_1_good_312,irregular_plural_subject_verb_agreement_1_bad_312,longformer-290_294.parquet,longformer-280_284.parquet,pythia-160m-step4-200_399.parquet,pythia-160m-step4-200_399.parquet,-85.79467010498047,-85.98571014404297,7,7
wh_vs_that_no_gap_long_distance,642,That teenager realized that a child that has appeared bikes to this museum.,That teenager realized what a child that has appeared bikes to this museum.,wh_vs_that_no_gap_long_distance_good_642,wh_vs_that_no_gap_long_distance_bad_642,longformer-1200_1204.parquet,longformer-1215_1219.parquet,pythia-160m-step4-1200_1399.parquet,pythia-160m-step4-1200_1399.parquet,-140.93719482421875,-140.55044555664062,14,14
wh_vs_that_no_gap,632,Brad learned that those schools haven't talked about that waiter.,Brad learned who those schools haven't talked about that waiter.,wh_vs_that_no_gap_good_632,wh_vs_that_no_gap_bad_632,longformer-1115_1119.parquet,longformer-1105_1109.parquet,pythia-160m-step4-1000_1199.parquet,pythia-160m-step4-1000_1199.parquet,-119.72689819335938,-118.85282897949219,12,12
animate_subject_passive,34,Wayne wasn't hidden by some drivers.,Wayne wasn't hidden by some sheep.,animate_subject_passive_good_34,animate_subject_passive_bad_34,longformer-460_464.parquet,longformer-360_364.parquet,pythia-160m-step4-400_599.parquet,pythia-160m-step4-200_399.parquet,-90.42526245117188,-90.72431182861328,8,8
