,arc_challenge,bbh,blimp,coqa,csqa,gsm8k,hellaswag,lambada+naturalqs,mmlu_other+mmlu_social_sciences,mmlu_stem,piqa,winogrande
0,0.9215179512894592,0.9215179512894592,0.7372143619530853,1.1979733352940203,0.6450625672848984,0.9215179512894592,1.1979733352940203,0.5529107726167114,1.0136697459576463,1.2901251299622072,0.9215179512894592,0.9215179512894592
4,0.5529107726167114,0.5529107726167114,0.8293661566212722,0.7372143619530853,1.2901251299622072,0.8293661566212722,0.6450625672848984,0.8293661566212722,1.1979733352940203,1.0136697459576463,1.1058215406258332,1.1058215406258332
5,0.8293661566212722,0.9215179512894592,1.0136697459576463,1.1058215406258332,1.0136697459576463,1.0136697459576463,0.18430359394396365,1.1058215406258332,0.8293661566212722,1.2901251299622072,0.9215179512894592,1.0136697459576463
8,4.607589733409347e-09,1.6587323086349548,1.474428719298581,4.607589733409347e-09,4.607589733409347e-09,1.750884103303142,4.607589733409347e-09,4.607589733409347e-09,4.607589733409347e-09,4.607589733409347e-09,4.607589733409347e-09,4.607589733409347e-09
10,0.9215179512894592,0.9215179512894592,1.1979733352940203,0.9215179512894592,1.0136697459576463,0.5529107726167114,1.382276924630394,1.1058215406258332,1.382276924630394,1.750884103303142,1.1979733352940203,0.7372143619530853
12,1.0136697459576463,0.8293661566212722,0.7372143619530853,0.8293661566212722,0.7372143619530853,0.7372143619530853,0.7372143619530853,0.7372143619530853,0.8293661566212722,0.8293661566212722,1.0136697459576463,0.8293661566212722
22,1.382276924630394,0.9215179512894592,1.1058215406258332,0.9215179512894592,1.2901251299622072,1.0136697459576463,0.7372143619530853,0.5529107726167114,0.9215179512894592,0.6450625672848984,1.1058215406258332,0.7372143619530853
27,0.7372143619530853,1.0136697459576463,1.1058215406258332,1.0136697459576463,1.843035897971329,0.9215179512894592,0.9215179512894592,1.1058215406258332,1.0136697459576463,1.1058215406258332,1.0136697459576463,1.1979733352940203
33,1.0136697459576463,0.9215179512894592,0.8293661566212722,1.0136697459576463,1.2901251299622072,1.1058215406258332,1.0136697459576463,0.7372143619530853,1.1979733352940203,0.9215179512894592,1.1979733352940203,1.1058215406258332
39,0.09215179927577669,4.607589733409347e-09,0.36860718328033754,0.09215179927577669,4.607589733409347e-09,4.607589733409347e-09,0.5529107726167114,4.607589733409347e-09,4.607589733409347e-09,4.607589733409347e-09,2.3959466659804503,1.5665805139667681
40,0.9215179512894592,1.2901251299622072,0.9215179512894592,1.1058215406258332,1.5665805139667681,0.7372143619530853,0.7372143619530853,0.5529107726167114,0.7372143619530853,1.1979733352940203,1.1979733352940203,1.0136697459576463
42,1.474428719298581,0.7372143619530853,0.8293661566212722,0.8293661566212722,1.6587323086349548,1.1979733352940203,1.5665805139667681,0.8293661566212722,0.5529107726167114,0.6450625672848984,0.7372143619530853,1.1979733352940203
43,0.6450625672848984,0.5529107726167114,1.1058215406258332,0.5529107726167114,1.0136697459576463,0.7372143619530853,1.474428719298581,1.2901251299622072,0.7372143619530853,1.0136697459576463,0.7372143619530853,0.7372143619530853
44,0.8293661566212722,0.5529107726167114,1.0136697459576463,0.8293661566212722,1.382276924630394,1.1979733352940203,1.1979733352940203,1.382276924630394,0.7372143619530853,1.0136697459576463,1.1979733352940203,0.8293661566212722
48,1.1058215406258332,0.8293661566212722,0.36860718328033754,1.2901251299622072,1.382276924630394,0.9215179512894592,0.9215179512894592,1.750884103303142,1.1058215406258332,0.7372143619530853,1.382276924630394,0.7372143619530853
50,0.5529107726167114,0.36860718328033754,0.9215179512894592,0.8293661566212722,0.5529107726167114,0.9215179512894592,0.4607589779485245,1.0136697459576463,0.8293661566212722,0.8293661566212722,1.6587323086349548,1.0136697459576463
54,0.8293661566212722,0.6450625672848984,0.9215179512894592,0.5529107726167114,0.9215179512894592,1.0136697459576463,1.382276924630394,1.1979733352940203,1.1058215406258332,0.6450625672848984,0.8293661566212722,0.9215179512894592
56,1.1979733352940203,1.843035897971329,0.8293661566212722,0.7372143619530853,1.0136697459576463,0.8293661566212722,1.1979733352940203,1.1058215406258332,0.7372143619530853,1.2901251299622072,1.0136697459576463,1.382276924630394
58,4.607589733409347e-09,0.5529107726167114,4.607589733409347e-09,4.607589733409347e-09,0.09215179927577669,0.5529107726167114,4.607589733409347e-09,0.09215179927577669,0.6450625672848984,4.607589733409347e-09,2.948857433989572,0.09215179927577669
66,1.1979733352940203,1.0136697459576463,1.1058215406258332,1.1058215406258332,1.1058215406258332,0.9215179512894592,1.2901251299622072,0.7372143619530853,0.7372143619530853,0.9215179512894592,0.5529107726167114,0.8293661566212722
72,1.2901251299622072,1.474428719298581,0.7372143619530853,0.6450625672848984,1.843035897971329,1.5665805139667681,1.474428719298581,1.1058215406258332,1.1058215406258332,1.0136697459576463,1.1058215406258332,1.382276924630394
73,0.8293661566212722,0.9215179512894592,0.9215179512894592,0.5529107726167114,1.1058215406258332,0.6450625672848984,0.9215179512894592,0.4607589779485245,1.1058215406258332,1.1979733352940203,0.9215179512894592,1.1979733352940203
75,0.7372143619530853,0.7372143619530853,0.7372143619530853,1.0136697459576463,1.1058215406258332,0.6450625672848984,0.5529107726167114,0.9215179512894592,0.8293661566212722,1.1058215406258332,1.382276924630394,1.1979733352940203
76,1.382276924630394,0.09215179927577669,0.8293661566212722,1.2901251299622072,1.1979733352940203,0.5529107726167114,1.1979733352940203,0.7372143619530853,0.9215179512894592,0.36860718328033754,1.1979733352940203,1.6587323086349548
78,0.9215179512894592,0.5529107726167114,1.750884103303142,0.6450625672848984,0.6450625672848984,1.1058215406258332,1.2901251299622072,1.382276924630394,1.2901251299622072,1.2901251299622072,0.4607589779485245,1.382276924630394
83,0.9215179512894592,1.1979733352940203,1.1979733352940203,0.9215179512894592,0.7372143619530853,1.1058215406258332,1.1058215406258332,0.8293661566212722,0.7372143619530853,0.9215179512894592,0.9215179512894592,1.1058215406258332
93,0.8293661566212722,0.6450625672848984,0.9215179512894592,0.8293661566212722,0.8293661566212722,0.5529107726167114,0.9215179512894592,0.8293661566212722,0.7372143619530853,0.8293661566212722,1.1979733352940203,0.8293661566212722
94,1.2901251299622072,0.9215179512894592,1.0136697459576463,1.1058215406258332,0.8293661566212722,0.9215179512894592,1.382276924630394,1.382276924630394,1.5665805139667681,0.9215179512894592,1.1979733352940203,1.0136697459576463
114,0.9215179512894592,1.474428719298581,0.6450625672848984,0.5529107726167114,1.5665805139667681,1.2901251299622072,1.1058215406258332,1.1979733352940203,1.1979733352940203,0.8293661566212722,0.9215179512894592,0.9215179512894592
121,1.0136697459576463,1.0136697459576463,0.6450625672848984,1.2901251299622072,1.0136697459576463,0.5529107726167114,0.8293661566212722,1.1058215406258332,1.0136697459576463,1.382276924630394,1.1979733352940203,1.2901251299622072
