split,pair_id,correct_sentence,correct_doc_id,correct_input_file,correct_output_file,correct_metric,correct_num_tokens,best_wrong_metric,num_wrong_options,wrong_metrics
abstract_algebra_test,0,"Question: Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.
A. 0
B. 4
C. 2
D. 6

Answer: B",abstract_algebra_test_correct_0_B,longformer-3000_3499.parquet,pythia-6_9b-step1000-3000_3999.parquet,-204.95928955078125,48,-203.25616455078125,3,"[-203.25616455078125, -204.63897705078125, -203.75616455078125]"
abstract_algebra_test,1,"Question: Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120

Answer: C",abstract_algebra_test_correct_1_C,longformer-1500_1999.parquet,pythia-6_9b-step1000-1000_1999.parquet,-203.4623565673828,56,-201.6186065673828,3,"[-201.6186065673828, -203.5092315673828, -202.6967315673828]"
abstract_algebra_test,2,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5
A. 0
B. 1
C. 0,1
D. 0,4

Answer: D",abstract_algebra_test_correct_2_D,longformer-11500_11999.parquet,pythia-6_9b-step1000-11000_11999.parquet,-263.2837829589844,64,-263.4947204589844,3,"[-263.4947204589844, -265.0415954589844, -264.5962829589844]"
abstract_algebra_test,3,"Question: Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: B",abstract_algebra_test_correct_3_B,longformer-24500_24999.parquet,pythia-6_9b-step1000-25000_25999.parquet,-286.064697265625,77,-283.994384765625,3,"[-283.994384765625, -286.189697265625, -285.010009765625]"
abstract_algebra_test,4,"Question: Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].
A. 2x^2 + 5
B. 6x^2 + 4x + 6
C. 0
D. x^2 + 1

Answer: B",abstract_algebra_test_correct_4_B,longformer-13000_13499.parquet,pythia-6_9b-step1000-13000_13999.parquet,-278.0286560058594,84,-276.4661560058594,3,"[-276.4661560058594, -278.3099060058594, -277.3802185058594]"
abstract_algebra_test,5,"Question: Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: A",abstract_algebra_test_correct_5_A,longformer-28500_28999.parquet,pythia-6_9b-step1000-28000_28999.parquet,-260.1629638671875,80,-261.1942138671875,3,"[-262.4676513671875, -262.2452392578125, -261.1942138671875]"
abstract_algebra_test,6,"Question: Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: A",abstract_algebra_test_correct_6_A,longformer-27000_27499.parquet,pythia-6_9b-step1000-27000_27999.parquet,-317.1330871582031,75,-317.9299621582031,3,"[-319.5080871582031, -319.3283996582031, -317.9299621582031]"
abstract_algebra_test,7,"Question: Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.
A. True, True
B. False, False
C. True, False
D. False, True

Answer: D",abstract_algebra_test_correct_7_D,longformer-15500_15999.parquet,pythia-6_9b-step1000-15000_15999.parquet,-279.4667663574219,61,-278.0370788574219,3,"[-278.0370788574219, -280.0058288574219, -279.7558288574219]"
abstract_algebra_test,8,"Question: Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.
A. 0
B. 4
C. 2
D. 6

Answer: B",abstract_algebra_test_correct_8_B,longformer-2000_2499.parquet,pythia-6_9b-step1000-2000_2999.parquet,-180.56515502929688,45,-178.94015502929688,3,"[-178.94015502929688, -180.11984252929688, -179.33078002929688]"
abstract_algebra_test,9,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7
A. 1
B. 2
C. 2,3
D. 6

Answer: C",abstract_algebra_test_correct_9_C,longformer-9500_9999.parquet,pythia-6_9b-step1000-9000_9999.parquet,-245.24362182617188,55,-244.21237182617188,3,"[-244.21237182617188, -245.68893432617188, -244.42330932617188]"
