split,pair_id,good_sentence,bad_sentence,good_doc_id,bad_doc_id,good_input_file,bad_input_file,good_output_file,bad_output_file,good_seq_logprob,bad_seq_logprob,good_num_tokens,bad_num_tokens
regular_plural_subject_verb_agreement_1,493,Many documentaries were stunning Maria.,Many documentaries was stunning Maria.,regular_plural_subject_verb_agreement_1_good_493,regular_plural_subject_verb_agreement_1_bad_493,longformer-515_519.parquet,longformer-515_519.parquet,pythia-160m-step64-400_599.parquet,pythia-160m-step64-400_599.parquet,-57.96110534667969,-57.58172607421875,6,6
wh_vs_that_no_gap_long_distance,640,Tiffany discovered that the man that hasn't questioned a lot of guys had upset Jessica.,Tiffany discovered who the man that hasn't questioned a lot of guys had upset Jessica.,wh_vs_that_no_gap_long_distance_good_640,wh_vs_that_no_gap_long_distance_bad_640,longformer-1275_1279.parquet,longformer-1270_1274.parquet,pythia-160m-step64-1200_1399.parquet,pythia-160m-step64-1200_1399.parquet,-148.82073974609375,-152.22767639160156,17,17
wh_vs_that_with_gap,650,Regina hasn't known what these children haven't looked like.,Regina hasn't known that these children haven't looked like.,wh_vs_that_with_gap_good_650,wh_vs_that_with_gap_bad_650,longformer-1055_1059.parquet,longformer-1065_1069.parquet,pythia-160m-step64-1000_1199.parquet,pythia-160m-step64-1000_1199.parquet,-123.46776580810547,-121.48371124267578,12,12
coordinate_structure_constraint_complex_left_branch,75,Whose libraries can Paula clean and Diane mess up?,Whose can Paula clean libraries and Diane mess up?,coordinate_structure_constraint_complex_left_branch_good_75,coordinate_structure_constraint_complex_left_branch_bad_75,longformer-865_869.parquet,longformer-865_869.parquet,pythia-160m-step64-800_999.parquet,pythia-160m-step64-800_999.parquet,-102.11808776855469,-101.38504028320312,10,10
existential_there_quantifiers_1,234,There were many computers dropping.,There were all computers dropping.,existential_there_quantifiers_1_good_234,existential_there_quantifiers_1_bad_234,longformer-400_404.parquet,longformer-385_389.parquet,pythia-160m-step64-400_599.parquet,pythia-160m-step64-200_399.parquet,-46.17268753051758,-45.23114013671875,6,6
sentential_negation_npi_licensor_present,515,All shoes had not ever flattened.,All shoes had really ever flattened.,sentential_negation_npi_licensor_present_good_515,sentential_negation_npi_licensor_present_bad_515,longformer-345_349.parquet,longformer-465_469.parquet,pythia-160m-step64-200_399.parquet,pythia-160m-step64-400_599.parquet,-55.50747299194336,-57.37722396850586,7,7
irregular_plural_subject_verb_agreement_1,312,Those oxen aren't boring Cheryl.,Those oxen wasn't boring Cheryl.,irregular_plural_subject_verb_agreement_1_good_312,irregular_plural_subject_verb_agreement_1_bad_312,longformer-290_294.parquet,longformer-280_284.parquet,pythia-160m-step64-200_399.parquet,pythia-160m-step64-200_399.parquet,-81.31023406982422,-80.16638946533203,7,7
wh_vs_that_no_gap_long_distance,642,That teenager realized that a child that has appeared bikes to this museum.,That teenager realized what a child that has appeared bikes to this museum.,wh_vs_that_no_gap_long_distance_good_642,wh_vs_that_no_gap_long_distance_bad_642,longformer-1200_1204.parquet,longformer-1215_1219.parquet,pythia-160m-step64-1200_1399.parquet,pythia-160m-step64-1200_1399.parquet,-112.176513671875,-115.10173034667969,14,14
wh_vs_that_no_gap,632,Brad learned that those schools haven't talked about that waiter.,Brad learned who those schools haven't talked about that waiter.,wh_vs_that_no_gap_good_632,wh_vs_that_no_gap_bad_632,longformer-1115_1119.parquet,longformer-1105_1109.parquet,pythia-160m-step64-1000_1199.parquet,pythia-160m-step64-1000_1199.parquet,-100.66869354248047,-101.37862396240234,12,12
animate_subject_passive,34,Wayne wasn't hidden by some drivers.,Wayne wasn't hidden by some sheep.,animate_subject_passive_good_34,animate_subject_passive_bad_34,longformer-460_464.parquet,longformer-360_364.parquet,pythia-160m-step64-400_599.parquet,pythia-160m-step64-200_399.parquet,-76.79617309570312,-76.6832275390625,8,8
anaphor_number_agreement,25,All drivers would praise themselves.,All drivers would praise herself.,anaphor_number_agreement_good_25,anaphor_number_agreement_bad_25,longformer-445_449.parquet,longformer-340_344.parquet,pythia-160m-step64-400_599.parquet,pythia-160m-step64-200_399.parquet,-45.518314361572266,-46.09444808959961,6,6
drop_argument,193,Tanya runs around.,Tanya lifted.,drop_argument_good_193,drop_argument_bad_193,longformer-25_29.parquet,longformer-0_4.parquet,pythia-160m-step64-0_199.parquet,pythia-160m-step64-0_199.parquet,-40.98241424560547,-27.952804565429688,4,3
irregular_plural_subject_verb_agreement_2,321,The men weren't bringing the hospitals.,The man weren't bringing the hospitals.,irregular_plural_subject_verb_agreement_2_good_321,irregular_plural_subject_verb_agreement_2_bad_321,longformer-540_544.parquet,longformer-545_549.parquet,pythia-160m-step64-400_599.parquet,pythia-160m-step64-400_599.parquet,-63.518218994140625,-62.68756103515625,8,8
irregular_plural_subject_verb_agreement_1,317,The fungus bores Bethany.,The fungus bore Bethany.,irregular_plural_subject_verb_agreement_1_good_317,irregular_plural_subject_verb_agreement_1_bad_317,longformer-110_114.parquet,longformer-85_89.parquet,pythia-160m-step64-0_199.parquet,pythia-160m-step64-0_199.parquet,-63.74826431274414,-52.754798889160156,5,5
determiner_noun_agreement_1,93,Some waiters have known those guests.,Some waiters have known those guest.,determiner_noun_agreement_1_good_93,determiner_noun_agreement_1_bad_93,longformer-475_479.parquet,longformer-460_464.parquet,pythia-160m-step64-400_599.parquet,pythia-160m-step64-400_599.parquet,-66.15794372558594,-66.75476837158203,7,7
